String / string group: ['circular economy']

titles
year;number of occurrences;corresponding docdb family IDs

abstracts
year;number of occurrences;corresponding docdb family IDs
2012;1;{45424723}



String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2000;2;{26390940, 27293965}
2001;1;{8851187}
2002;1;{7681107}
2003;2;{19040220, 8869189}
2004;2;{32069326, 32321814}
2009;2;{40429017, 40394162}
2010;1;{43098805}
2011;4;{45371217, 44602730, 43924678, 43844582}
2012;10;{45529952, 47402887, 45924520, 46542577, 47009847, 47354328, 47260090, 47174747, 45773406, 46716927}
2013;7;{47429953, 48865446, 47437035, 44511601, 47402906, 47137694, 47137695}
2014;5;{50210592, 51579522, 50730884, 49913453, 52129435}
2015;3;{52585747, 54361757, 53514422}
2016;4;{55456581, 56121156, 57276989, 53491486}
2017;5;{58717560, 58630536, 59685392, 59614808, 57988539}
2018;8;{60937890, 61129474, 61280450, 62156325, 64274470, 63918410, 61759031, 63676286}
2019;9;{65367784, 68467560, 65514795, 66245741, 68374417, 63528501, 65948886, 67067740, 66189983}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;30;{21630980, 14208649, 7879050, 26400401, 7908244, 7911189, 27308953, 11556126, 26564255, 17939624, 27497771, 19615154, 17245895, 22344137, 22560074, 22299981, 27336141, 26354259, 19623380, 7913945, 16161498, 11856355, 22388202, 26835820, 49111788, 18244590, 22905968, 26810864, 23048316, 18089854}
2001;28;{16473348, 18614279, 24267530, 4164494, 22791828, 26586902, 19647006, 7920672, 8241568, 19664929, 23534370, 27074214, 24162858, 16161843, 24263354, 23368379, 23520700, 9904702, 36643395, 7918788, 26870215, 18595151, 18421457, 7922519, 19690200, 7634652, 26584800, 23749114}
2002;32;{18799106, 7677578, 27500431, 25347728, 18710931, 18849179, 18773020, 18710688, 18874151, 18957479, 8858409, 18972969, 22810667, 22823979, 18895664, 7686321, 29740336, 25392579, 7681745, 18720472, 18782938, 18802779, 18782940, 18782941, 18782942, 22866267, 27101794, 18721251, 50481644, 7677552, 25367792, 22825456}
2003;40;{8180615, 27770890, 19192852, 29220512, 8178593, 32395427, 29714339, 19152421, 27762088, 27798186, 19033771, 28450218, 28673581, 28791980, 28458287, 29419693, 27658929, 27678006, 7702712, 19106234, 29225025, 52394562, 28035779, 26624836, 29732426, 22634059, 28685008, 21811409, 28037842, 9952211, 27407575, 19040220, 8178788, 19071721, 27647082, 27788265, 29727982, 27759089, 40428018, 27675001}
2004;23;{33095068, 31721502, 32277154, 32170915, 31197356, 33458356, 33126840, 33475386, 32829760, 33415875, 32820553, 32829901, 32115280, 33308122, 32314842, 32028384, 31994210, 33416176, 33418864, 29723761, 31991669, 31993974, 31946364}
2005;36;{34431490, 34807170, 35394438, 34130827, 34835980, 34062477, 34102286, 34676878, 34782863, 35507732, 34190999, 33461913, 34572832, 34215207, 34595116, 35667116, 34678959, 35125552, 35451190, 36205622, 34936634, 34441915, 35375547, 37561659, 34886591, 34397120, 34717504, 34945988, 34428363, 34641995, 35504975, 34138063, 34568660, 35503836, 35186411, 34103035}
2006;35;{36233856, 37481346, 36941317, 34927498, 36587146, 37390218, 37087249, 35519771, 35219358, 36207135, 36927528, 36583083, 36916908, 36927532, 35447345, 37532723, 36203574, 36118459, 37073340, 36614848, 36124866, 35784005, 36602312, 35825360, 36215760, 36564945, 36776402, 37481684, 35613781, 36840544, 37481705, 35967466, 35943663, 36059887, 36933885}
2007;37;{37459331, 38172675, 38563080, 38235147, 37770896, 38004380, 38266145, 38558370, 38188967, 37611688, 37099562, 38934574, 38092850, 38163126, 37084599, 37683260, 38371773, 38576061, 37865664, 37900224, 38815816, 37776853, 38677077, 37595099, 39344732, 37907937, 38533861, 36481510, 37717992, 38756202, 38057457, 38287987, 38667894, 38175351, 38287224, 37440634, 38541436}
2008;48;{40122112, 39739011, 40135812, 39591688, 38372361, 42049547, 39028496, 39198609, 39042068, 39364244, 39732634, 38266652, 39943964, 39607071, 39260580, 38667052, 39590444, 39330605, 39732912, 39358131, 38862388, 39170101, 39256247, 39964735, 39833664, 39372865, 39733314, 39871555, 39226949, 39884998, 39123527, 39675592, 39807817, 39826375, 39826378, 40113867, 40002767, 39268177, 39644628, 39686106, 39497181, 39681762, 38895973, 39617264, 39168885, 39944185, 38748282, 39157246}
2009;36;{40917120, 41226118, 40020748, 54063255, 40833819, 40303771, 40638625, 41061282, 42935845, 41315494, 41254702, 40002992, 40769969, 41116084, 40247349, 41264695, 41280311, 40510906, 40529979, 40638652, 40641213, 40838716, 41200576, 40986197, 40600666, 40092509, 41113315, 40010474, 41315562, 40667889, 40469618, 40833651, 41454580, 40259703, 40453756, 40386430}
2010;64;{42056705, 42152964, 42005510, 41679751, 42982790, 42937353, 43011720, 43019910, 41529741, 43381390, 42335248, 42395411, 42541844, 41663387, 42629020, 42119585, 42677665, 41259299, 42076067, 42268836, 42718369, 42984612, 57127975, 41505196, 43309485, 40673199, 43222575, 43223346, 42382899, 42634036, 43386294, 43218870, 42992439, 42199484, 40984895, 42147529, 42643403, 42198348, 42265040, 48578002, 42340308, 42655061, 51358292, 43223255, 42098265, 42709342, 42154338, 52727522, 42539494, 41650919, 42728425, 40361578, 42195562, 41396332, 51656172, 41491694, 42228590, 43381105, 41227124, 43494263, 42690424, 42106233, 42991482, 42542079}
2011;86;{43732490, 44655628, 44186663, 44483123, 42340917, 44340281, 44564025, 44053051, 43900475, 44082239, 44149826, 43544132, 44174424, 43497561, 43588196, 44672615, 44751486, 45328000, 44316288, 43910786, 42470531, 44803229, 43533999, 43920052, 44251317, 44586676, 44503743, 44291782, 44291783, 43529419, 45349068, 41572557, 44650206, 43662060, 44114671, 43798777, 43576593, 44304150, 43755819, 44673846, 44991288, 44532031, 44662094, 45371217, 43649362, 44008790, 43909463, 43898712, 44476765, 43528543, 51162980, 44962149, 44992361, 45505394, 44115337, 44148620, 43412878, 44367761, 44541847, 43606936, 43875225, 44277145, 45097881, 44599196, 45869980, 45397920, 44147622, 44560301, 44123054, 42651057, 45097909, 45034942, 43910598, 44711897, 43970532, 44706789, 43844582, 44562918, 44011496, 44483057, 44483058, 44167153, 43633143, 43900408, 43458553, 43633151}
2012;145;{45888004, 45925391, 46784015, 47294483, 46024213, 46580759, 47072284, 46878750, 46083626, 46317611, 46693419, 46797867, 47041583, 45567536, 45401649, 46070320, 47009847, 46587964, 46757948, 47217214, 45463623, 47423049, 47259214, 46380111, 46515792, 45893200, 46005330, 45927512, 47174747, 45722725, 46507109, 47217257, 48089708, 45873776, 47072369, 47747185, 46693491, 46162550, 46580342, 47019640, 46721145, 46025338, 50240123, 45440630, 46084230, 46815370, 45697678, 47009426, 46198422, 46563479, 46985879, 46071965, 46351524, 45924520, 56022189, 44789424, 45818035, 46969019, 47199934, 46622406, 46563537, 47174358, 46579421, 46579423, 45772512, 45876448, 45874404, 45559525, 46793959, 46206698, 46542577, 45401330, 46929650, 44168437, 46830338, 46464772, 45974793, 45437711, 48482063, 46528277, 48142104, 47176478, 46470433, 49515809, 47422756, 47422757, 47356711, 46006057, 46551853, 45422384, 46245173, 46482230, 46902585, 46048067, 46931272, 47292232, 46543701, 46636378, 45438811, 46766428, 46766430, 45529952, 46766432, 45831528, 46717807, 46605168, 44653938, 45873522, 46720371, 46087035, 47402887, 45399946, 45483403, 46331286, 46331291, 46515100, 45723037, 43466655, 62529445, 45723563, 45938093, 46233518, 47041456, 47173557, 45529015, 47260090, 45545915, 46208447, 47259075, 47234515, 46152670, 47349729, 47176674, 46454760, 46672360, 45770218, 47422444, 45526000, 46381041, 46587889, 45724146, 46544890, 46071803, 46926332, 46716927}
