String / string group: ['wind', 'wind power', 'wind turbine']

titles
year;number of occurrences;corresponding docdb family IDs
2000;3;{26062937, 9901692, 15568039}
2001;4;{7632817, 27343852, 16106085, 26890646}
2002;7;{18797635, 11455974, 7648114, 7682642, 8179958, 27481883, 26604349}
2003;4;{29740466, 27732027, 8867740, 27792877}
2004;7;{32406385, 33435955, 29997176, 32406394, 33039099, 32685405, 32321662}
2005;9;{34384557, 37595597, 37012722, 35098004, 34558357, 35451190, 36916886, 34528313, 35197631}
2006;9;{37432156, 36616904, 46853491, 35613781, 36650646, 36794295, 36751642, 36751643, 36756284}
2007;11;{38184930, 50442978, 38281993, 38912713, 39461710, 37669650, 37673783, 37873336, 38650714, 38831932, 38831933}
2008;15;{39165891, 39209157, 40581989, 39667111, 38787560, 40470919, 38895466, 39535982, 39884911, 39715280, 39969841, 39541747, 39666677, 39981815, 39200799}
2009;24;{41059714, 40330243, 39877902, 41058836, 40435735, 41123483, 40654494, 41135394, 40341029, 41200552, 39730605, 39924914, 40898484, 40381496, 40765503, 40225367, 41132636, 40090342, 41062246, 40303080, 41112939, 40801900, 40852984, 39676670}
2010;19;{41804162, 43370136, 42222104, 59928612, 42434097, 42744369, 42152499, 42223546, 43353020, 42741564, 41203656, 42098258, 42287061, 43135451, 41610985, 41796714, 42509422, 43297393, 41258359}
2011;29;{43622912, 43843077, 43852807, 44069127, 44911118, 44225169, 43410708, 44150037, 45009826, 45076009, 44304811, 43627949, 44746033, 44746034, 45052980, 43301306, 44369852, 43825598, 44761150, 43454405, 44628294, 44081363, 45348435, 44367445, 45020886, 43478235, 44114671, 45336820, 43526271}
2012;26;{45825540, 46640012, 45437711, 45930642, 45892521, 45952810, 47199917, 43663668, 46880057, 45545915, 49155771, 45885503, 46210122, 44628301, 47362126, 45990485, 46638549, 45805914, 45805915, 46017889, 46039786, 44653937, 44653938, 45218677, 46756985, 45696122}
2013;27;{44862465, 47746439, 49223055, 46829589, 47878549, 49534750, 47744162, 49136548, 47994409, 48899369, 47710891, 47483188, 48927159, 47172417, 49292995, 49194694, 49383626, 47423947, 48191448, 48950747, 49651547, 46754654, 47752546, 44719720, 54292978, 49290356, 47438840}
2014;32;{47278092, 50708237, 51261965, 50050959, 50050960, 50214159, 50100250, 48170523, 50483366, 49667623, 51517236, 50320693, 50546104, 50028986, 50906300, 51623356, 49883840, 50736196, 49000773, 50301895, 50388551, 51486931, 50956628, 51486935, 50183513, 51277785, 51369824, 51369825, 52141282, 51226085, 51502695, 50159596}
2015;31;{54363012, 52829962, 53493643, 54306443, 54830604, 53174805, 54666910, 53056674, 53881766, 51659816, 52695607, 52339258, 53731642, 52827580, 52627772, 52257856, 52781120, 54609349, 53516620, 54287309, 51492304, 52781649, 52992850, 52444119, 53217112, 49725018, 52828643, 53481188, 54167672, 54336761, 54061818}
2016;34;{53059464, 54105614, 53540752, 55229713, 56097939, 55180953, 56124569, 55913630, 55436065, 55758625, 57274790, 56149803, 55910188, 56244396, 55018414, 56355372, 55359024, 55266105, 54697658, 56357053, 56244415, 56171072, 54850497, 54850501, 55917509, 56178374, 55793232, 56567136, 57393782, 55311223, 57601528, 54337274, 56568829, 57358846}
2017;43;{57685637, 57864968, 56194194, 59217940, 58186517, 58966167, 58994462, 58663843, 58240165, 58100262, 58799915, 58240428, 58557485, 60203437, 59308919, 57990194, 57985076, 58096181, 58667956, 60326966, 58666552, 60096568, 58261562, 58771772, 59064126, 58193604, 58284488, 60478408, 56740302, 59961949, 57727968, 60115552, 57865065, 59673968, 59559796, 58557942, 58296311, 59511801, 56027003, 58360444, 59057149, 59626238, 58098175}
2018;39;{65034629, 64789386, 57714443, 62002062, 60452496, 64017938, 63040403, 59569314, 61974436, 61083302, 59676969, 59966634, 62716846, 62353711, 62494639, 60995761, 61612209, 63355310, 63854128, 61243577, 63841721, 64395452, 63844290, 59297220, 62716617, 58054219, 63518033, 62169946, 64300635, 60993889, 63003875, 62020965, 63012584, 62135659, 64300655, 59745904, 64541685, 61768438, 62012284}
2019;31;{64806285, 67549202, 63787924, 65243285, 66110235, 65910044, 68002333, 68539040, 66949667, 66212261, 62200360, 61832238, 66632111, 68968750, 66601523, 66676155, 64331581, 68100034, 66912848, 67617233, 63794258, 68100319, 68325727, 63833956, 64332136, 66438122, 65959534, 64017392, 66243313, 67495921, 68105077}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;35;{23811331, 23201541, 9529354, 27337610, 26830994, 26788893, 14821662, 27528998, 15568039, 27339179, 26949677, 9541428, 27336884, 9551289, 23190459, 7885627, 27526594, 23724484, 18071749, 16510790, 15423818, 26494036, 26062937, 26056282, 23516252, 27328860, 11856355, 7886057, 7899375, 4162800, 13433839, 26315252, 26343417, 9901692, 18508926}
2001;37;{18675584, 26515329, 9903746, 27343493, 17591184, 25681042, 20239763, 27347356, 7644958, 23845790, 24862494, 26594213, 27347372, 22497965, 18392494, 7632817, 26594486, 18244279, 18493752, 19691195, 7959103, 18191557, 17693126, 27342664, 44773193, 26511833, 18598494, 26578527, 16106085, 19642986, 27343852, 7636973, 16926576, 18353265, 24261873, 21658611, 27580532}
2002;48;{18906242, 18790663, 18765320, 7655305, 21742221, 21661337, 18901403, 27481883, 8860959, 7675425, 18741665, 19697319, 26601008, 7686321, 26597553, 18843574, 19674553, 19704249, 18862908, 26604349, 29272254, 36316990, 7678915, 18797635, 25392579, 27482051, 24804810, 27482316, 25014861, 4673103, 7682642, 25278546, 7657433, 24485977, 19704288, 11455974, 21670251, 18756845, 27531757, 7648114, 18879987, 18925810, 18822901, 8179958, 25192439, 18991484, 19700093, 18929918}
2003;47;{8871170, 19089922, 19718532, 33298309, 19714315, 19063055, 19063056, 19156881, 19090069, 19171349, 29708440, 8867740, 29267358, 8178593, 19078563, 26624294, 28450216, 27636651, 28449964, 29740466, 29266100, 29996597, 19163062, 29705783, 27800378, 27732027, 8181308, 8181053, 28035518, 19088191, 29416765, 52394562, 8160835, 8181062, 19039951, 27610067, 29732564, 19716437, 8498906, 27797595, 19072354, 25445476, 8871405, 19122413, 27792877, 26623984, 4748152}
2004;47;{30121728, 32174592, 33121795, 34979972, 32653191, 33115528, 31986443, 32959633, 31970454, 33127323, 33410853, 33127846, 29761832, 33026352, 33410609, 33435955, 32502717, 32923710, 31185087, 31185088, 32829760, 31884482, 33516411, 31984328, 32960202, 32701133, 33103565, 32892880, 32708180, 32802900, 32985684, 32299481, 35006171, 32685405, 32110561, 32712930, 35786470, 33310444, 32468589, 31943922, 32032882, 34063476, 29997176, 32871929, 32406394, 33039099, 32321662}
2005;46;{34197248, 34747273, 34982667, 34270092, 35098004, 34558357, 35459862, 34131351, 36916886, 34373401, 35424924, 34113949, 35510174, 34113952, 34617378, 35506214, 34650409, 34384557, 49125549, 33546675, 35451190, 33552953, 34699321, 35460923, 34966333, 35197631, 35353157, 34421190, 34566855, 34638791, 35504968, 37595597, 34102232, 35136856, 34965722, 34541790, 34946655, 34619491, 34269924, 34894184, 34703342, 34395633, 34220786, 37012722, 34190841, 33426812}
2006;73;{36233856, 36647553, 37114755, 37187339, 35540622, 36584335, 36614673, 36315670, 36650646, 37070102, 36407193, 36314268, 37451807, 36728096, 36217761, 36101026, 36815016, 35732650, 36538284, 36616621, 37476912, 36740020, 35731382, 36612023, 36205624, 36794295, 35432762, 37114934, 36756284, 36593085, 37396415, 36442047, 36653632, 36778303, 37069505, 36074435, 36319172, 36261061, 36691395, 37030727, 36574664, 36616904, 36567754, 35967691, 36968011, 37214660, 36776402, 35905619, 35905620, 35686101, 35613781, 36263766, 37394388, 36159321, 37015770, 37396313, 37432156, 37597782, 36498015, 36840544, 36125922, 37396416, 37494499, 37011945, 37137001, 35541740, 37510253, 36740080, 46853491, 36677366, 36911990, 37396417, 36190463}
2007;74;{38508160, 37683586, 37944322, 38281993, 38906812, 38580237, 37995406, 37669650, 38559763, 38668052, 36754073, 37693082, 38831772, 37963937, 38421537, 36950564, 38599332, 37803816, 55754026, 37947563, 37715757, 38581037, 38684464, 37894450, 37882419, 37899570, 37894454, 37673783, 37873336, 38681910, 38368954, 37679419, 36691772, 38068029, 38831932, 37804607, 37882175, 37101889, 37680578, 37896640, 38320064, 38337730, 38337731, 37854407, 37887431, 38224841, 38337732, 38477379, 39522116, 39461710, 37011542, 38005593, 38650714, 38328155, 37517148, 38509532, 39008730, 37708641, 38184930, 50442978, 38533861, 38851301, 38831933, 38722926, 37636719, 37607408, 38831934, 37441907, 37943156, 38831935, 38052854, 59959671, 38042491, 37967996}
2008;98;{39085577, 39372299, 39640594, 39200799, 39344674, 39676450, 39969841, 38658618, 38662715, 38962761, 39685194, 39136333, 39535702, 40136288, 40235106, 39650929, 39054968, 38923400, 39464079, 39746721, 39832230, 39708845, 39343790, 39111855, 39709357, 37507763, 39324348, 39976129, 39608516, 39209157, 39563462, 39535304, 39687382, 39593692, 39593699, 39596264, 38666989, 39981815, 39474936, 39645947, 38895870, 39708927, 39495938, 39415047, 39322381, 39083283, 39826708, 39469338, 39719707, 39330594, 39769381, 39683878, 39845160, 38919474, 39410995, 39794999, 38846268, 40185667, 40128331, 39706956, 38521166, 39880014, 39589201, 39541074, 39681886, 40581989, 38895466, 39535982, 39168879, 39725422, 50443121, 39369586, 39718269, 38254976, 39432577, 40470919, 50858380, 39157150, 39047074, 38849443, 39716261, 39032743, 39667111, 39032745, 39710128, 39582149, 39032778, 39816665, 39401440, 39686116, 39855076, 38787560, 39985131, 38923248, 39684082, 39541747, 39666677, 38926328}
2009;105;{40330243, 40534541, 41283599, 40510993, 41058836, 40435735, 40912925, 40341029, 40548912, 41339953, 40381496, 40765503, 41055814, 40225367, 41132636, 40494177, 41378918, 40801900, 40493166, 40957045, 40384631, 40595069, 40452223, 40344195, 41376903, 39789704, 41277576, 40225935, 40303771, 41123483, 40654494, 41416352, 40951972, 40565930, 41259181, 39110831, 39924914, 40579267, 40591557, 41052869, 40786634, 41211082, 40091348, 40676061, 40090342, 41053942, 40297209, 39676670, 39735553, 40340743, 40523530, 40479499, 40997646, 40642320, 40642322, 41135394, 40900911, 40798000, 41429808, 40227124, 41100088, 40901438, 41036608, 41200960, 40227148, 40383823, 40508754, 41318755, 40796005, 40581990, 41062246, 41214824, 41112939, 39832432, 40526192, 40447863, 41272188, 40549757, 40568190, 41059714, 41605506, 40196488, 40996746, 40259469, 40294803, 40669075, 40430486, 40572310, 40711066, 40378780, 40898484, 40506808, 41116089, 41443772, 40296894, 41200575, 41236430, 40515025, 41063386, 41416674, 40899562, 40623085, 40899567, 40306167, 40852984}
2010;117;{47143434, 42056721, 41226773, 42997782, 43354646, 42222104, 42226200, 43543061, 42935841, 41382436, 59928612, 42169897, 42395181, 42395182, 42434097, 42744369, 42152499, 42222133, 42434102, 42317370, 43067969, 42710084, 42710085, 42237006, 41707600, 42739280, 42098258, 42171474, 43414611, 43029590, 42993754, 42111582, 43028578, 41796714, 41668717, 42509422, 42730105, 43334271, 41647243, 42130580, 41721494, 43370136, 42336410, 41161377, 41707171, 42339499, 42980525, 42244286, 42106047, 42339525, 42339526, 42339527, 42244808, 42339528, 42339529, 42339530, 43323593, 41663693, 42400461, 41112784, 43309264, 42054866, 42936024, 42339545, 43073755, 41610976, 42243809, 42709732, 42709735, 41610985, 42287340, 42362096, 43217665, 42033931, 43088139, 41669419, 42179884, 43085105, 43329843, 42741564, 40383807, 42131778, 43356484, 42039120, 42082649, 41501530, 41692001, 42958699, 42242421, 41258359, 43494263, 42991482, 42128765, 42677630, 42980225, 41804162, 42752905, 42677643, 42062221, 41509779, 43104664, 41279390, 41066402, 42991528, 42287546, 43353020, 42633668, 41203656, 42236372, 42287061, 42227160, 42535897, 43135451, 41550823, 42739694, 41725940, 41796607}
2011;189;{43622912, 43843077, 45064710, 43852807, 44563463, 44861447, 44602890, 44911118, 43627536, 43975187, 44146712, 43544095, 44150819, 43921444, 43649061, 42557481, 44284969, 45076009, 43544111, 45052980, 45032505, 45039161, 44761149, 44761150, 44251202, 43587142, 44506697, 43446347, 44958118, 45332047, 44167760, 44319312, 45348435, 42357845, 44367445, 43795042, 44166754, 44142184, 44672621, 43586671, 44119153, 43568244, 44316790, 43526271, 43910784, 43558022, 43466889, 43530378, 44277898, 45507214, 44353168, 44225169, 44710036, 44033177, 43921565, 44583582, 44279973, 43843758, 43795631, 42931889, 44972723, 44972724, 43382455, 44065976, 44650169, 44972731, 44972733, 44309183, 54365892, 44309191, 43924686, 44148944, 44081363, 44482771, 45020886, 44352215, 44861143, 45097689, 43478235, 43796701, 43450078, 44646623, 44114671, 45336820, 43605243, 43856638, 43547393, 44069124, 44069127, 43795720, 44237065, 44626184, 42983694, 42199315, 42751763, 43410708, 44150037, 43769111, 43925784, 44672275, 43666726, 42537767, 43410729, 42111791, 44746033, 44746034, 44759860, 44304181, 44304182, 43743543, 44506423, 44071737, 44257082, 45371188, 44059964, 43410753, 44628294, 43648840, 46673224, 42735439, 43795285, 45032277, 45347672, 43244889, 43242329, 45021538, 43896676, 43756902, 43902822, 44114793, 42455406, 43728753, 44649842, 44887926, 44602743, 45397369, 43857274, 46275966, 42985343, 44356486, 44626315, 45352843, 44887949, 44887955, 44507541, 44991894, 43533210, 45869980, 43970464, 43627937, 45009826, 44560294, 44560295, 43048360, 43796905, 44353961, 44304811, 43875244, 43627949, 44356520, 44531625, 43500470, 43301306, 44798395, 44369852, 45359546, 43825598, 43454405, 43534277, 43447755, 43536331, 44367819, 43645902, 44009935, 43278800, 44279758, 44585421, 43900376, 45351896, 43901917, 62152159, 44625378, 43910631, 41719273, 45064681, 42670575, 43854324, 44355061, 44195324}
