String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year,number of occurrences
2004,1
2009,1
2010,1
2011,2
2013,2
2014,1
2016,1
2018,5
2019,5

abstracts
year,number of occurrences
2000,3
2001,1
2002,1
2003,2
2004,1
2006,1
2008,2
2009,4
2010,1
2011,10
2012,7
2013,4
2014,7
2015,3
2016,10
2017,5
2018,7
2019,20



String / string group: ['repair', 'repairing']

titles
year,number of occurrences
2003,1
2006,1
2009,1
2010,1
2011,2
2012,6
2013,1
2014,1
2015,3
2016,1
2017,1
2018,1

abstracts
year,number of occurrences
2004,1
2005,1
2006,2
2007,3
2008,2
2009,5
2010,2
2011,6
2012,13
2013,10
2014,7
2015,8
2016,6
2017,13
2018,10
2019,15



String / string group: ['recycle', 'recycling']

titles
year,number of occurrences
2000,3
2002,1
2003,4
2005,1
2006,1
2007,3
2008,1
2009,4
2010,1
2011,9
2012,2
2013,6
2014,4
2015,8
2016,14
2017,5
2018,15
2019,18

abstracts
year,number of occurrences
2000,4
2001,2
2002,2
2003,4
2004,3
2005,2
2006,4
2007,5
2008,2
2009,4
2010,4
2011,24
2012,15
2013,17
2014,11
2015,18
2016,27
2017,19
2018,21
2019,36



String / string group: ['recover', 'recovering', 'retrieve', 'retrieving']

titles
year,number of occurrences
2001,1
2003,1
2004,2
2005,2
2006,2
2007,5
2008,3
2009,2
2011,8
2012,13
2013,10
2014,8
2015,3
2016,10
2017,8
2018,10
2019,13

abstracts
year,number of occurrences
2000,5
2001,10
2002,3
2003,10
2004,12
2005,9
2006,5
2007,16
2008,11
2009,18
2010,14
2011,38
2012,35
2013,36
2014,41
2015,28
2016,30
2017,38
2018,33
2019,56



