String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2004;1;{32069326}
2009;1;{40394162}
2010;1;{43098805}
2011;2;{45371217, 43844582}
2013;2;{47429953, 48865446}
2014;1;{49913453}
2016;1;{55456581}
2018;5;{61280450, 60937890, 61129474, 63918410, 61759031}
2019;5;{65367784, 68467560, 65948886, 67067740, 66189983}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;3;{17939624, 19615154, 11556126}
2001;1;{18614279}
2002;1;{18710688}
2003;2;{27788265, 19040220}
2004;1;{31946364}
2006;1;{35784005}
2008;2;{39590444, 39123527}
2009;4;{40453756, 40600666, 41454580, 41315562}
2010;1;{42991482}
2011;10;{45397920, 44562918, 43844582, 44011496, 44186663, 44167153, 45371217, 45097909, 45097881, 43900475}
2012;7;{46454760, 45938093, 46929650, 46005330, 47234515, 46198422, 46544890}
2013;4;{49258128, 47429953, 49858610, 48981767}
2014;7;{51791555, 49913388, 49913453, 49911726, 51729552, 51728595, 47178101}
2015;3;{54168296, 52627873, 53758967}
2016;10;{54477888, 57277761, 55456581, 55828517, 55828518, 55302826, 56984078, 57440304, 55651868, 56798719}
2017;5;{59310505, 59258318, 59624174, 60788443, 59630174}
2018;7;{60937890, 61129474, 63918410, 62907340, 60915254, 61658429, 58772414}
2019;20;{66277773, 68057230, 66630414, 68727833, 66448410, 66189983, 68781600, 65514795, 68547008, 68616395, 68100428, 66251600, 68825302, 65948886, 65367784, 68467560, 68501353, 66655726, 66100345, 67300602}



String / string group: ['repair', 'repairing']

titles
year;number of occurrences;corresponding docdb family IDs
2003;1;{29721393}
2006;1;{36680026}
2009;1;{41199702}
2010;1;{43104105}
2011;2;{43926242, 44962214}
2012;6;{45469696, 46140517, 46208429, 46383033, 45935770, 46878619}
2013;1;{47010489}
2014;1;{50101167}
2015;3;{51893980, 53620757, 52775135}
2016;1;{56149020}
2017;1;{58323145}
2018;1;{61728548}

abstracts
year;number of occurrences;corresponding docdb family IDs
2004;1;{32677807}
2005;1;{34259877}
2006;2;{36916568, 35432762}
2007;3;{37758689, 39140305, 37429260}
2008;2;{39741977, 39955467}
2009;5;{40680265, 40431151, 41199702, 40627382, 40880831}
2010;2;{43222200, 43104105}
2011;6;{44973952, 44483107, 44174918, 44962214, 44670860, 45067310}
2012;13;{45469696, 47006595, 46879557, 46140517, 46887175, 47260075, 46208429, 46177391, 46794869, 46383033, 45935770, 46878619, 44860508}
2013;10;{46796228, 48085549, 48429102, 48784783, 48428944, 49222894, 48022610, 47010489, 48437947, 49624028}
2014;7;{50342276, 51724935, 50101167, 50881396, 51062360, 50289593, 52142748}
2015;8;{53057635, 51987079, 54332651, 53620757, 52827545, 53367418, 51893980, 52775135}
2016;6;{55079619, 56916645, 56400207, 55018771, 56149020, 54477822}
2017;13;{60783816, 58323145, 58273994, 58498923, 58801259, 58827913, 58755054, 60050571, 58240496, 60249552, 58340312, 61230874, 59273468}
2018;10;{62908096, 61728548, 62894892, 61196269, 61073614, 63266482, 60892435, 62491894, 64206136, 57396345}
2019;15;{65903776, 65451490, 65439718, 66978377, 66993129, 68501353, 66437645, 68615727, 68512209, 65039602, 67445810, 66993076, 65439287, 68538776, 66149337}



String / string group: ['recycle', 'recycling']

titles
year;number of occurrences;corresponding docdb family IDs
2000;3;{22861649, 16161498, 26344853}
2002;1;{18840919}
2003;4;{22017978, 19040220, 27678006, 27784855}
2005;1;{34098357}
2006;1;{35355338}
2007;3;{39140573, 38327205, 38181782}
2008;1;{39904678}
2009;4;{41684178, 41001602, 40264732, 41429903}
2010;1;{42073930}
2011;9;{44903845, 43844582, 44318598, 44130762, 43821325, 44071954, 44216691, 44353173, 43900475}
2012;2;{46544890, 46039898}
2013;6;{49292547, 48817160, 46982666, 48721742, 49220086, 47677142}
2014;4;{50341842, 50862732, 51299854, 50278247}
2015;8;{49917509, 54701638, 49911687, 53180072, 53877584, 54934864, 54016562, 53274068}
2016;14;{55749831, 55302826, 55302827, 56594090, 56872879, 55552304, 55537233, 57248625, 56872403, 56747604, 56879156, 56014710, 53487256, 56798719}
2017;5;{60324744, 59014700, 58764339, 58340312, 58797913}
2018;15;{61140225, 61129474, 61280450, 62021863, 63918410, 61256531, 63198164, 63971603, 63096886, 64105012, 63108376, 63263673, 62814875, 63674268, 63916863}
2019;18;{67255008, 67066843, 68467560, 65900298, 65514795, 68856236, 67951023, 61827664, 65352305, 62091762, 65041299, 65948886, 66297910, 68119288, 68727833, 60673915, 68850012, 66189983}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;4;{22861649, 19615154, 26344853, 26446706}
2001;2;{8850845, 18598455}
2002;2;{19016313, 11133546}
2003;4;{4676280, 19189204, 19040220, 27784855}
2004;3;{29723761, 32896595, 33436425}
2005;2;{34736282, 34098357}
2006;4;{35462256, 35355338, 36601995, 35784005}
2007;5;{38071653, 38684464, 38181782, 38667894, 39140573}
2008;2;{39314160, 39725451}
2009;4;{41214824, 41684178, 41314980, 41429903}
2010;4;{42073930, 42153676, 43222157, 52727522}
