"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120457957","124014761","127772120","131626739","135601191","139778040","143672212","147672554","151820998","156114817","160566595","164874421","169434461","174179870","179042894","184020617","189069664","194197950","199562553","204490985","209623803","215433091","221669504","228702425","235595590","243340096","250968904","258789552","266483174","274560388","274187781",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3066275","3298673","3607249","3946872","4267544","4539013","4695427","4788255","4853676","4939406","5071019","5293409","5573459","5886907","6198356","6483459","6644361","6770367","6887819","7028234","7214374","7522643","7890946","8307846","8741749","9175691","9567277","9948660","10319153","10701549","10657912",
"Africa Western and Central","AFW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74234178","76188584","78201963","80384197","82650649","84997174","87215323","89573765","92056448","94634079","97260750","99673685","102079424","104719111","107488412","110356594","113200467","116186343","119103749","122061785","125069374","128284051","129135969","129983822","132637900","135687613","138758954","143551063","148828857","154240169","154278820",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4844889","4998077","5161889","5342889","5518487","5697808","5876026","6067328","6270421","6486105","6712513","6936309","7167727","7418810","7682021","7959563","8244254","8546323","8866363","9209589","9560071","9909983","10270960","10647313","11035035","11438809","11848867","12269167","12705661","13155275","13292663",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1448254","1512840","1513773","1474435","1438075","1390620","1372578","1403095","1384501","1357637","1343716","1319777","1313099","1300292","1286492","1271829","1260202","1247416","1234242","1226421","1225905","1371813","1314035","1232509","1243921","1302893","1328845","1344945","1400072","1422089","1402604",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61272326","63332275","64626104","66954029","69592140","72288456","74114305","75954334","77750365","80648088","82984964","84968599","87077995","90011599","92965158","96049825","99281128","103159221","106482605","110161820","114111293","117340731","120737899","124422691","126843720","129099365","131647054","133079186","134781005","137660445","135833282",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917347","986211","1062992","1147960","1232994","1318509","1385029","1462752","1551178","1649814","1760641","1896726","2048191","2245475","2534172","2943395","3493191","4187573","4946285","5654065","6220778","6473127","6576738","6583699","6572272","6600050","6612641","6676281","6753143","6834748","6820222",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13609215","13884513","14168536","14478202","14765660","14932380","15228312","15572593","15870565","16071710","16313902","16513808","16594404","16979408","17375101","17521275","17832502","17855172","17879074","18227890","18221948","18556925","18771887","18931350","19008308","19361189","19696125","20034606","20551683","20877041","19191447",
